year,geo_name,geo,total_reimbursements_b
2013,"Sharkey County","05000US28125",12317.0
2014,"Morgan County","05000US21175",12314.0
2014,"Beauregard Parish","05000US22011",12314.0
2011,"Tyler County","05000US54095",12313.0
2014,"Phillips County","05000US08095",12313.0
2011,"Quitman County","05000US28119",12304.0
2010,"Lawrence County","05000US21127",12303.0
2012,"Montgomery County","05000US28097",12301.0
2014,"Little River County","05000US05081",12300.0
2011,"Holmes County","05000US28051",12295.0
2014,"Kingman County","05000US20095",12295.0
2013,"Candler County","05000US13043",12293.0
2010,"Cochran County","05000US48079",12291.0
2012,"Twiggs County","05000US13289",12291.0
2011,"Meade County","05000US20119",12290.0
2011,"Terry County","05000US48445",12290.0
2011,"Madison County","05000US48313",12289.0
2013,"Barton County","05000US29011",12287.0
2011,"Red River County","05000US48387",12285.0
2010,"Tillman County","05000US40141",12285.0
2014,"Claiborne Parish","05000US22027",12284.0
2011,"Marshall County","05000US40095",12282.0
2012,"Valley County","05000US31175",12281.0
2014,"Hardeman County","05000US48197",12277.0
2014,"Concordia Parish","05000US22029",12276.0
2011,"Pike County","05000US39131",12274.0
2012,"Matagorda County","05000US48321",12273.0
2012,"Washington County","05000US29221",12264.0
2010,"Gove County","05000US20063",12259.0
2013,"Perry County","05000US21193",12258.0
2010,"Beauregard Parish","05000US22011",12257.0
2012,"Greeley County","05000US20071",12254.0
2013,"Concordia Parish","05000US22029",12251.0
2011,"Henry County","05000US21103",12250.0
2013,"Choctaw County","05000US01023",12249.0
2012,"Grant Parish","05000US22043",12248.0
2014,"St. Tammany Parish, LA","05000US22103",12240.0
2011,"Etowah County, AL","05000US01055",12240.0
2014,"Throckmorton County","05000US48447",12240.0
2013,"Wrangell City and Borough","05000US02275",12239.0
2012,"Long County","05000US13183",12236.0
2012,"Scott County","05000US18143",12236.0
2014,"Jefferson County","05000US39081",12235.0
2013,"Graham County","05000US20065",12234.0
2012,"Jeff Davis County","05000US13161",12234.0
2010,"Scott County","05000US28123",12233.0
2014,"Pawnee County","05000US20145",12233.0
2011,"Holmes County","05000US12059",12230.0
2011,"Wolfe County","05000US21237",12227.0
2012,"Owsley County","05000US21189",12225.0
2012,"Kemper County","05000US28069",12223.0
2011,"Dyer County","05000US47045",12223.0
2011,"Weakley County","05000US47183",12222.0
2014,"George County","05000US28039",12219.0
2013,"Edwards County","05000US20047",12217.0
2012,"Jefferson Davis Parish","05000US22053",12216.0
2010,"Bradley County","05000US05011",12216.0
2012,"Carroll County","05000US21041",12214.0
2012,"Willacy County","05000US48489",12214.0
2013,"Hidalgo County, TX","05000US48215",12213.0
2010,"Denton County, TX","05000US48121",12211.0
2012,"Pike County","05000US39131",12210.0
2012,"Beauregard Parish","05000US22011",12208.0
2012,"Warren County","05000US28149",12203.0
2013,"Cooke County","05000US48097",12203.0
2010,"Ascension Parish, LA","05000US22005",12202.0
2011,"Allen County","05000US21003",12200.0
2011,"Covington County","05000US28031",12200.0
2012,"Grayson County, TX","05000US48181",12198.0
2012,"Franklin County","05000US21073",12196.0
2011,"Wise County","05000US48497",12196.0
2011,"Bossier Parish, LA","05000US22015",12193.0
2012,"Kingman County","05000US20095",12193.0
2011,"Ouachita Parish, LA","05000US22073",12192.0
2013,"Clarke County","05000US28023",12192.0
2012,"Grundy County","05000US47061",12192.0
2012,"Dimmit County","05000US48127",12191.0
2010,"Union County","05000US12125",12190.0
2013,"Tunica County","05000US28143",12189.0
2012,"Denton County, TX","05000US48121",12189.0
2012,"Jefferson County","05000US39081",12186.0
2014,"Phillips County","05000US20147",12185.0
2012,"Wise County","05000US48497",12185.0
2010,"Gallatin County","05000US21077",12180.0
2010,"Throckmorton County","05000US48447",12178.0
2013,"Johnson County, TX","05000US48251",12176.0
